Event,Key/Mouse,Timestamp
MouseMove,"Move to (1069, 593)",1.889185
KeyPress,w,1.890191
MouseMove,"Move to (1068, 593)",1.897226
MouseMove,"Move to (1067, 593)",1.920111
KeyPress,w,1.925023
KeyPress,w,1.953061
KeyPress,w,1.992798
KeyPress,w,2.020577
KeyPress,w,2.055234
KeyPress,w,2.083411
MouseMove,"Move to (1066, 593)",2.111775
KeyPress,w,2.120302
MouseMove,"Move to (1066, 593)",2.136377
MouseMove,"Move to (1065, 593)",2.15312
KeyPress,w,2.158969
MouseMove,"Move to (1064, 593)",2.168333
MouseMove,"Move to (1064, 593)",2.175309
MouseMove,"Move to (1063, 593)",2.183305
MouseMove,"Move to (1061, 593)",2.190136
KeyPress,w,2.19632
MouseMove,"Move to (1059, 593)",2.201495
MouseMove,"Move to (1056, 593)",2.207797
MouseMove,"Move to (1052, 593)",2.215066
KeyPress,w,2.221843
MouseMove,"Move to (1048, 593)",2.221843
MouseMove,"Move to (1045, 593)",2.229997
MouseMove,"Move to (1041, 593)",2.240141
MouseMove,"Move to (1038, 593)",2.24923
KeyPress,w,2.250014
MouseMove,"Move to (1037, 593)",2.257938
MouseMove,"Move to (1035, 593)",2.263826
MouseMove,"Move to (1034, 593)",2.270392
MouseMove,"Move to (1034, 593)",2.280182
KeyPress,w,2.284526
MouseMove,"Move to (1033, 593)",2.284526
KeyPress,w,2.320955
MouseMove,"Move to (1032, 592)",2.336626
KeyPress,w,2.34805
KeyPress,w,2.386224
MouseMove,"Move to (1032, 592)",2.400937
MouseMove,"Move to (1033, 592)",2.409146
MouseMove,"Move to (1034, 592)",2.417685
KeyPress,w,2.418691
MouseMove,"Move to (1036, 592)",2.42524
MouseMove,"Move to (1040, 592)",2.432876
MouseMove,"Move to (1046, 592)",2.440876
KeyPress,w,2.44871
MouseMove,"Move to (1054, 592)",2.450327
MouseMove,"Move to (1064, 592)",2.457148
MouseMove,"Move to (1073, 592)",2.464931
MouseMove,"Move to (1081, 592)",2.473173
MouseMove,"Move to (1088, 592)",2.481499
KeyPress,w,2.488493
MouseMove,"Move to (1093, 592)",2.490078
MouseMove,"Move to (1096, 592)",2.496558
MouseMove,"Move to (1097, 592)",2.505005
KeyPress,w,2.515203
MouseMove,"Move to (1098, 592)",2.536893
MouseMove,"Move to (1099, 592)",2.545512
KeyPress,w,2.546527
MouseMove,"Move to (1099, 592)",2.551579
MouseMove,"Move to (1099, 593)",2.561826
MouseMove,"Move to (1098, 595)",2.569309
MouseMove,"Move to (1095, 597)",2.577111
MouseMove,"Move to (1090, 600)",2.58546
KeyPress,w,2.590189
MouseMove,"Move to (1081, 605)",2.590189
MouseMove,"Move to (1069, 609)",2.601454
MouseMove,"Move to (1052, 613)",2.609179
KeyPress,w,2.612128
MouseMove,"Move to (1030, 618)",2.612128
MouseMove,"Move to (1001, 623)",2.626359
MouseMove,"Move to (961, 630)",2.631787
MouseMove,"Move to (923, 634)",2.640778
MouseMove,"Move to (884, 638)",2.648677
MouseMove,"Move to (848, 642)",2.65235
KeyPress,w,2.661647
MouseMove,"Move to (820, 645)",2.666059
MouseMove,"Move to (800, 648)",2.670256
KeyPress,w,2.680026
MouseMove,"Move to (787, 651)",2.681952
MouseMove,"Move to (780, 653)",2.689008
MouseMove,"Move to (777, 654)",2.721908
KeyPress,w,2.723356
MouseMove,"Move to (776, 655)",2.728857
MouseMove,"Move to (776, 656)",2.73765
MouseMove,"Move to (777, 656)",2.74348
KeyPress,w,2.750036
MouseMove,"Move to (782, 656)",2.75305
MouseMove,"Move to (790, 656)",2.761205
MouseMove,"Move to (808, 656)",2.76465
MouseMove,"Move to (831, 656)",2.777213
MouseMove,"Move to (862, 656)",2.785548
KeyPress,w,2.786543
MouseMove,"Move to (899, 656)",2.792751
MouseMove,"Move to (940, 658)",2.800166
MouseMove,"Move to (981, 658)",2.80858
MouseMove,"Move to (1013, 660)",2.817286
KeyPress,w,2.820169
MouseMove,"Move to (1038, 661)",2.825466
MouseMove,"Move to (1051, 661)",2.833508
MouseMove,"Move to (1056, 661)",2.840086
KeyPress,w,2.847906
